variant,seed,pipeline,lambda,lambda_role,F1_bp,F1_fm,ADD_bp,ADD_fm,n_detections,TP_bp,FP_bp,precision_bp,recall_bp,n_valid_drifts,e_pre_span,e_post,alarms_pre_change
abrupt_balanced,1870843651,pht_arf_c1,30.0,grid,0.0847457627118644,0.0847457627118644,58.8,58.8,113,5,108,0.04424778761061947,1.0,5,0.3130789589766211,0.34565527990648137,13
abrupt_balanced,1944468667,pht_arf_c1,30.0,grid,0.08403361344537816,0.08403361344537816,256.6,256.6,114,5,109,0.043859649122807015,1.0,5,0.34594177326863695,0.33999220678010134,20
abrupt_balanced,911875363,pht_arf_c1,31.049231321,lambda_ref,0.08064516129032258,0.08064516129032258,135.8,135.8,119,5,114,0.04201680672268908,1.0,5,0.333480370533745,0.33947265878685545,20
abrupt_balanced,536987301,pht_arf_c1,32.703134626,lambda_ref,0.0909090909090909,0.0909090909090909,113.0,113.0,105,5,100,0.047619047619047616,1.0,5,0.33480370533745035,0.33934277178854394,18
abrupt_balanced,233227757,pht_arf_c1,33.166332841,lambda_ref,0.10526315789473684,0.10526315789473684,293.2,293.2,90,5,85,0.05555555555555555,1.0,5,0.32785619761799734,0.3350045460449409,15
abrupt_balanced,1258460216,pht_arf_c1,33.634795517,lambda_ref,0.1,0.1,146.2,146.2,95,5,90,0.05263157894736842,1.0,5,0.3234450816056462,0.3342252240550721,18
abrupt_balanced,1380564739,pht_arf_c1,34.706648707,lambda_ref,0.11627906976744184,0.11627906976744184,321.8,321.8,81,5,76,0.06172839506172839,1.0,5,0.3016100573445082,0.32386024158981686,11
abrupt_balanced,1870843651,pht_arf_c1,40.286010772,lambda_ref,0.13698630136986303,0.13698630136986303,247.4,247.4,68,5,63,0.07352941176470588,1.0,5,0.2984119982355536,0.3144824003117288,9
abrupt_balanced,398083709,pht_arf_c1,40.667327285,lambda_ref,0.11904761904761907,0.11904761904761907,112.8,112.8,79,5,74,0.06329113924050633,1.0,5,0.30822673136303486,0.3229250552019743,13
abrupt_balanced,1658700540,pht_arf_c1,41.622960806,lambda_eq_span,0.14705882352941177,0.14705882352941177,287.6,287.6,63,5,58,0.07936507936507936,1.0,5,0.2616894574327305,0.32095077282763995,1
abrupt_balanced,1129302214,pht_arf_c1,41.855429888,lambda_ref,0.14492753623188406,0.14492753623188406,411.6,411.6,64,5,59,0.078125,1.0,5,0.29863255403617117,0.3190804000519548,8
abrupt_balanced,176092387,pht_arf_c1,42.552108437,lambda_ref,0.125,0.125,152.8,152.8,75,5,70,0.06666666666666667,1.0,5,0.28352448169386857,0.3354461618391999,8
abrupt_balanced,110020020,pht_arf_c1,42.743487954,lambda_eq_span,0.17857142857142855,0.17857142857142855,438.0,438.0,51,5,46,0.09803921568627451,1.0,5,0.2616894574327305,0.31346928172489935,1
abrupt_balanced,592703045,pht_arf_c1,43.371133655,lambda_eq_span,0.16666666666666669,0.16666666666666669,105.8,105.8,55,5,50,0.09090909090909091,1.0,5,0.2674239082487869,0.31778153006884013,1
abrupt_balanced,76953952,pht_arf_c1,45.0,grid,0.19607843137254902,0.19607843137254902,397.0,397.0,46,5,41,0.10869565217391304,1.0,5,0.27845169827966476,0.30437719184309653,3
abrupt_balanced,110020020,pht_arf_c1,45.0,grid,0.17543859649122806,0.17543859649122806,326.6,326.6,52,5,47,0.09615384615384616,1.0,5,0.2616894574327305,0.3166645018833615,1
abrupt_balanced,168388230,pht_arf_c1,45.0,grid,0.15625,0.15625,109.2,109.2,59,5,54,0.0847457627118644,1.0,5,0.2958756065284517,0.3119625925444863,8
abrupt_balanced,176092387,pht_arf_c1,45.0,grid,0.1492537313432836,0.1492537313432836,98.2,98.2,62,5,57,0.08064516129032258,1.0,5,0.27734891927657696,0.32765294194051175,5
