seed,delta_e,tau_arf
3543069911,0.2,291
3479688010,0.2,87
877132087,0.2,75
1244265337,0.2,124
2740186692,0.2,231
3884972972,0.2,118
829139639,0.2,170
2545567356,0.2,131
2718398101,0.2,353
176092387,0.2,174
3528048386,0.2,92
569531098,0.2,195
1337295874,0.2,60
612016888,0.2,118
232150720,0.2,200
2324106676,0.2,260
1658700540,0.2,170
609942288,0.2,93
3405943863,0.2,531
2257503667,0.2,241
4018327298,0.2,67
2224437599,0.2,114
168388230,0.2,163
911875363,0.2,78
3699796293,0.2,192
3195154224,0.2,650
3621210587,0.2,19
1945778437,0.2,981
2384190687,0.2,109
3249086786,0.2,108
439485575,0.2,126
2217192537,0.2,112
3412522237,0.2,109
555567425,0.2,163
3399977417,0.2,198
2903099886,0.2,113
151712926,0.2,181
1207582415,0.2,243
2486821540,0.2,168
1259821421,0.2,172
597594931,0.2,174
2865206418,0.2,94
3003750881,0.2,75
3312495928,0.2,101
3078168926,0.2,337
1005097259,0.2,148
1646080115,0.2,201
2175304393,0.2,174
3907648593,0.2,271
1971688097,0.2,259
268300483,0.2,88
3139098279,0.2,243
3174456534,0.2,239
997026310,0.2,178
4280428995,0.2,156
345698675,0.2,47
2296661869,0.2,12
1808063307,0.2,62
3884888703,0.2,130
2494461129,0.2,110
3862701690,0.2,942
1989052338,0.2,84
2910179760,0.2,192
1983180500,0.2,103
2796940620,0.2,82
2835193311,0.2,119
1671370085,0.2,207
3953588250,0.2,340
358542842,0.2,58
3497188667,0.2,78
253549709,0.2,146
1953331372,0.2,148
890775398,0.2,140
642810498,0.2,231
1233062494,0.2,136
908446902,0.2,113
3109591194,0.2,127
2446198906,0.2,8
3358664237,0.2,144
896344283,0.2,130
1869944201,0.2,327
3190319407,0.2,127
987968938,0.2,71
48960437,0.2,83
2405484524,0.2,123
3763400334,0.2,181
4209925572,0.2,79
4172993659,0.2,153
2147595062,0.2,187
3425188374,0.2,45
3309235867,0.2,102
3869940862,0.2,187
3445858407,0.2,119
683688611,0.2,202
3671515462,0.2,105
3027130951,0.2,53
3369736057,0.2,174
1655287705,0.2,148
3004971955,0.2,386
1256815592,0.2,96
267482411,0.2,194
2210323869,0.2,111
3218958405,0.2,70
3163371865,0.2,124
1394697297,0.2,63
4178031102,0.2,111
643453088,0.2,146
3249835323,0.2,100
349764347,0.2,81
317791015,0.2,80
4067508317,0.2,114
2385507088,0.2,326
1526028037,0.2,107
297824171,0.2,151
1353143832,0.2,227
1739382006,0.2,103
580680804,0.2,131
2823014988,0.2,561
3517474495,0.2,172
1323262800,0.2,225
975802718,0.2,150
2199045525,0.2,108
1193102617,0.2,121
884894373,0.2,230
3411013638,0.2,115
805745625,0.2,73
3780170430,0.2,359
3127142703,0.2,9
2145807442,0.2,1006
7356014,0.2,169
1854214563,0.2,306
3246756741,0.2,427
4269520782,0.2,235
3093880402,0.2,123
721312908,0.2,163
2185234596,0.2,256
1811372632,0.2,1
158871473,0.2,83
3933942357,0.2,1
2247311752,0.2,147
2639539135,0.2,206
588020478,0.2,432
2481404281,0.2,87
3605935409,0.2,149
1724216363,0.2,105
3705963873,0.2,4
3077038052,0.2,152
3012538924,0.2,114
339579960,0.2,269
3595527923,0.2,124
863450078,0.2,95
1293846983,0.2,399
297175216,0.2,123
1619853330,0.2,87
1315304267,0.2,445
3174143715,0.2,355
1039824701,0.2,113
721441559,0.2,81
4105799406,0.2,117
1633137197,0.2,363
1521883525,0.2,218
3988848284,0.2,327
2356674901,0.2,156
3622559309,0.2,113
855568988,0.2,97
2610361744,0.2,224
3797455899,0.2,25
3701701166,0.2,107
1820757617,0.2,117
3255375637,0.2,146
1973362254,0.2,289
817567550,0.2,189
3034277235,0.2,139
422340604,0.2,190
2537213971,0.2,194
2777209301,0.2,113
3393578195,0.2,103
968986378,0.2,253
688328363,0.2,42
4152859901,0.2,101
1795468969,0.2,620
2590496957,0.2,195
3299187091,0.2,253
1977285233,0.2,149
2229299064,0.2,311
621973311,0.2,162
3137073118,0.2,89
1722482046,0.2,118
2843863878,0.2,101
3220027874,0.2,134
2854411774,0.2,114
